Device ID,Build Date,Cookie Ver,Session ID,Play Mode,Language,Event ID,Time Taken,Result,Age,Session Total Time,Total Correct,Total Wrong
6LMMX752,2015-04-02,13,FY18V,play all,kn-in,2C_Length,00:00:17,Correct,20,00:09:57,15,10
6LMMX752,2015-04-02,13,FY18V,play all,kn-in,2D_Number_Sense,00:00:15,Correct,20,00:09:57,15,10
6LMMX752,2015-04-02,13,FY18V,play all,kn-in,2E_Add_Subtract,00:00:30,Correct,20,00:09:57,15,10
6LMMX752,2015-04-02,13,FY18V,play all,kn-in,3A_Number_Sense,00:00:26,Incorrect,20,00:09:57,15,10
6LMMX752,2015-04-02,13,FY18V,play all,kn-in,3B_Patterns,00:00:26,Incorrect,20,00:09:57,15,10
6LMMX752,2015-04-02,13,FY18V,play all,kn-in,3C_Add_Subtract,00:00:26,Correct,20,00:09:57,15,10
6LMMX752,2015-04-02,13,FY18V,play all,kn-in,3D_Weight,00:00:42,Correct,20,00:09:57,15,10
6LMMX752,2015-04-02,13,FY18V,play all,kn-in,4A_Number_Sense,00:00:22,Incorrect,20,00:09:57,15,10
6LMMX752,2015-04-02,13,FY18V,play all,kn-in,4B_Length,00:00:19,Incorrect,20,00:09:57,15,10
6LMMX752,2015-04-02,13,FY18V,play all,kn-in,4C_Data_Handling,00:00:38,Incorrect,20,00:09:57,15,10
6LMMX752,2015-04-02,13,FY18V,play all,kn-in,4D_Time,00:00:21,Correct,20,00:09:57,15,10
6LMMX752,2015-04-02,13,FY18V,play all,kn-in,5A_Data_Handling,00:00:22,Correct,20,00:09:57,15,10
6LMMX752,2015-04-02,13,FY18V,play all,kn-in,5B_Multiplication,00:00:22,Incorrect,20,00:09:57,15,10
6LMMX752,2015-04-02,13,FY18V,play all,kn-in,5C_Fractions,00:00:36,Incorrect,20,00:09:57,15,10
6LMMX752,2015-04-02,13,FY18V,play all,kn-in,6A_Operations,00:00:18,Incorrect,20,00:09:57,15,10
6LMMX752,2015-04-02,13,FY18V,play all,kn-in,6B_Fractions,00:00:25,Incorrect,20,00:09:57,15,10
BVC7SZHV,2015-04-02,13,KKVKT,play all,kn-in,T_Tutorial,00:00:53,Correct,10,00:16:19,12,13
BVC7SZHV,2015-04-02,13,KKVKT,play all,kn-in,T2_Tutorial,00:00:13,Correct,10,00:16:19,12,13
BVC7SZHV,2015-04-02,13,KKVKT,play all,kn-in,1A_Premath,00:02:50,Correct,10,00:16:19,12,13
BVC7SZHV,2015-04-02,13,KKVKT,play all,kn-in,1B_Premath,00:01:56,Correct,10,00:16:19,12,13
BVC7SZHV,2015-04-02,13,KKVKT,play all,kn-in,1C_Order_By_Size,00:00:50,Incorrect,10,00:16:19,12,13
BVC7SZHV,2015-04-02,13,KKVKT,play all,kn-in,1D_Premath,00:00:07,Correct,10,00:16:19,12,13
BVC7SZHV,2015-04-02,13,KKVKT,play all,kn-in,1E_Premath,00:00:29,Correct,10,00:16:19,12,13
BVC7SZHV,2015-04-02,13,KKVKT,play all,kn-in,2A_Length,00:00:14,Correct,10,00:16:19,12,13
BVC7SZHV,2015-04-02,13,KKVKT,play all,kn-in,2B_Patterns,00:00:19,Incorrect,10,00:16:19,12,13
BVC7SZHV,2015-04-02,13,KKVKT,play all,kn-in,2C_Length,00:00:25,Incorrect,10,00:16:19,12,13
BVC7SZHV,2015-04-02,13,KKVKT,play all,kn-in,2D_Number_Sense,00:00:37,Incorrect,10,00:16:19,12,13
BVC7SZHV,2015-04-02,13,KKVKT,play all,kn-in,2E_Add_Subtract,00:00:31,Correct,10,00:16:19,12,13
BVC7SZHV,2015-04-02,13,KKVKT,play all,kn-in,3A_Number_Sense,00:00:39,Incorrect,10,00:16:19,12,13
BVC7SZHV,2015-04-02,13,KKVKT,play all,kn-in,3B_Patterns,00:00:21,Incorrect,10,00:16:19,12,13
BVC7SZHV,2015-04-02,13,KKVKT,play all,kn-in,3C_Add_Subtract,00:00:19,Correct,10,00:16:19,12,13
BVC7SZHV,2015-04-02,13,KKVKT,play all,kn-in,3D_Weight,00:00:18,Incorrect,10,00:16:19,12,13
BVC7SZHV,2015-04-02,13,KKVKT,play all,kn-in,4A_Number_Sense,00:00:19,Incorrect,10,00:16:19,12,13
BVC7SZHV,2015-04-02,13,KKVKT,play all,kn-in,4B_Length,00:00:10,Incorrect,10,00:16:19,12,13
BVC7SZHV,2015-04-02,13,KKVKT,play all,kn-in,4C_Data_Handling,00:00:38,Incorrect,10,00:16:19,12,13
BVC7SZHV,2015-04-02,13,KKVKT,play all,kn-in,4D_Time,00:00:16,Correct,10,00:16:19,12,13
BVC7SZHV,2015-04-02,13,KKVKT,play all,kn-in,5A_Data_Handling,00:00:13,Correct,10,00:16:19,12,13
BVC7SZHV,2015-04-02,13,KKVKT,play all,kn-in,5B_Multiplication,00:00:37,Correct,10,00:16:19,12,13
BVC7SZHV,2015-04-02,13,KKVKT,play all,kn-in,5C_Fractions,00:00:25,Incorrect,10,00:16:19,12,13
BVC7SZHV,2015-04-02,13,KKVKT,play all,kn-in,6A_Operations,00:00:17,Incorrect,10,00:16:19,12,13
BVC7SZHV,2015-04-02,13,KKVKT,play all,kn-in,6B_Fractions,00:00:23,Incorrect,10,00:16:19,12,13
DJMXX00S,2015-04-02,13,7F9C8,play all,kn-in,T_Tutorial,00:00:21,Correct,9,00:30:44,10,8
DJMXX00S,2015-04-02,13,7F9C8,play all,kn-in,T2_Tutorial,00:00:21,Correct,9,00:30:44,10,8
DJMXX00S,2015-04-02,13,7F9C8,play all,kn-in,1A_Premath,00:02:10,Correct,9,00:30:44,10,8
DJMXX00S,2015-04-02,13,7F9C8,play all,kn-in,1B_Premath,00:02:25,Correct,9,00:30:44,10,8
DJMXX00S,2015-04-02,13,7F9C8,play all,kn-in,1C_Order_By_Size,00:02:52,Correct,9,00:30:44,10,8
DJMXX00S,2015-04-02,13,7F9C8,play all,kn-in,1D_Premath,00:00:39,Correct,9,00:30:44,10,8
DJMXX00S,2015-04-02,13,7F9C8,play all,kn-in,1E_Premath,00:01:27,Correct,9,00:30:44,10,8
DJMXX00S,2015-04-02,13,7F9C8,play all,kn-in,2A_Length,00:01:23,Correct,9,00:30:44,10,8
DJMXX00S,2015-04-02,13,7F9C8,play all,kn-in,2B_Patterns,00:02:24,Incorrect,9,00:30:44,10,8
DJMXX00S,2015-04-02,13,7F9C8,play all,kn-in,2C_Length,00:01:08,Correct,9,00:30:44,10,8
DJMXX00S,2015-04-02,13,7F9C8,play all,kn-in,2D_Number_Sense,00:00:37,Correct,9,00:30:44,10,8
DJMXX00S,2015-04-02,13,7F9C8,play all,kn-in,2E_Add_Subtract,00:00:30,Incorrect,9,00:30:44,10,8
DJMXX00S,2015-04-02,13,7F9C8,play all,kn-in,3A_Number_Sense,00:00:47,Incorrect,9,00:30:44,10,8
DJMXX00S,2015-04-02,13,7F9C8,play all,kn-in,3B_Patterns,00:00:40,Incorrect,9,00:30:44,10,8
DJMXX00S,2015-04-02,13,7F9C8,play all,kn-in,3C_Add_Subtract,00:00:22,Incorrect,9,00:30:44,10,8
DJMXX00S,2015-04-02,13,7F9C8,play all,kn-in,3D_Weight,00:01:03,Incorrect,9,00:30:44,10,8
DJMXX00S,2015-04-02,13,7F9C8,play all,kn-in,4A_Number_Sense,00:01:13,Incorrect,9,00:30:44,10,8
DJMXX00S,2015-04-02,13,7F9C8,play all,kn-in,4B_Length,00:01:02,Incorrect,9,00:30:44,10,8
EYODV719,2015-04-02,13,J2WQD,play all,kn-in,T_Tutorial,00:02:39,Correct,8,00:26:31,2,7
EYODV719,2015-04-02,13,J2WQD,play all,kn-in,T2_Tutorial,00:00:38,Correct,8,00:26:31,2,7
EYODV719,2015-04-02,13,J2WQD,play all,kn-in,1A_Premath,00:02:59,Incorrect,8,00:26:31,2,7
EYODV719,2015-04-02,13,J2WQD,play all,kn-in,1B_Premath,00:01:19,Incorrect,8,00:26:31,2,7
EYODV719,2015-04-02,13,J2WQD,play all,kn-in,1C_Order_By_Size,00:02:09,Incorrect,8,00:26:31,2,7
EYODV719,2015-04-02,13,J2WQD,play all,kn-in,1D_Premath,00:00:32,Incorrect,8,00:26:31,2,7
EYODV719,2015-04-02,13,J2WQD,play all,kn-in,1E_Premath,00:02:03,Incorrect,8,00:26:31,2,7
